Person ID	 HomeLink	 HomeCoord
435039901	77142	[x=4597910.75525114 | y=5820976.226928863]
64509501	2382	[x=4626101.880340344 | y=5821538.13964766]
195673001	160124	[x=4600695.945733723 | y=5819066.567442748]
350929401	103902	[x=4593875.751207097 | y=5825882.9857791215]
freight_566_44729-berlin	44514	[x=4611604.89424955 | y=5819946.458767274]
320387001	127073	[x=4595038.637492315 | y=5822506.731958165]
381469401	156781	[x=4594366.031394356 | y=5821366.955798541]
150415201	121351	[x=4586708.416334094 | y=5839449.137437685]
388292801	51518	[x=4594852.247398809 | y=5822734.3575003045]
152910601	11208	[x=4617829.5673637865 | y=5816194.400417194]
306071301	59116	[x=4591087.508107314 | y=5819518.725862446]
334433601	13791	[x=4606187.375786817 | y=5809755.347241542]
386014401	124717	[x=4597984.213742814 | y=5821494.051322858]
377738101	128950	[x=4596940.809758819 | y=5821997.20329618]
322449601	76865	[x=4601941.912539272 | y=5823393.484053164]
137587101	96539	[x=4588657.2472700095 | y=5808457.439503875]
415934601	137695	[x=4588718.375311231 | y=5817666.355807502]
188774201	101177	[x=4602852.786965976 | y=5820794.799272494]
387639301	11066	[x=4588132.791858893 | y=5821386.100661931]
397125901	34680	[x=4598662.763785005 | y=5821305.201127489]
186608601	55212	[x=4608306.485508187 | y=5822170.39812978]
362972801	114646	[x=4588409.010637118 | y=5816372.716151643]
438833701	16109	[x=4604198.0201388 | y=5821559.2114778245]
387869801	57227	[x=4586871.13245578 | y=5819802.659265158]
199731401	123814	[x=4600391.155186522 | y=5821845.201312515]
418439101	3752	[x=4602525.04121292 | y=5815699.5369235]
208499301	36502	[x=4605792.869921091 | y=5809575.572581349]
freight_562_44729-berlin	44514	[x=4611604.89424955 | y=5819946.458767274]
108419001	29325	[x=4632366.210358276 | y=5830504.43276574]
178986701	49451	[x=4595006.618992889 | y=5824709.96731898]
420932101	35276	[x=4598294.410988156 | y=5821677.874538385]
362381301	114321	[x=4598623.428112332 | y=5821118.558553922]
441753101	28075	[x=4601059.410738896 | y=5821667.8081046855]
95030601	83022	[x=4610419.8430909 | y=5818119.707868929]
74750501	157922	[x=4661536.737207389 | y=5823552.514309636]
263635101	153889	[x=4592566.845760823 | y=5817524.571044427]
230006301	95468	[x=4599821.824946407 | y=5819453.328042099]
369227901	146711	[x=4608535.984312654 | y=5824922.726115958]
373490801	140208	[x=4610729.254113767 | y=5820621.35520274]
347845301	149485	[x=4594337.7643368635 | y=5823159.0162520185]
248234601	36504	[x=4588647.45279976 | y=5816228.683005461]
freight_626_44729-berlin	44514	[x=4611604.89424955 | y=5819946.458767274]
252520901	22177	[x=4596415.672405908 | y=5823218.546318037]
288029201	70723	[x=4588258.247614412 | y=5813310.319772598]
281487101	34744	[x=4598263.039142233 | y=5821833.540212336]
267313701	78521	[x=4584176.001187645 | y=5825929.580269651]
297975501	132744	[x=4577025.345935161 | y=5822465.85399567]
freight_2512_berlin-130736	65945	[x=4600445.050907329 | y=5822050.6493680095]
272741901	93887	[x=4594346.458032292 | y=5819298.473148233]
193538901	67343	[x=4594837.488810178 | y=5821213.420568896]
267428801	88982	[x=4596429.346577423 | y=5822127.858396258]
118796901	139934	[x=4626735.707072631 | y=5832035.593349007]
191043801	40139	[x=4589135.378976276 | y=5820984.429008489]
263142401	56616	[x=4603952.028232624 | y=5820745.041927107]
265430301	6853	[x=4588107.807672846 | y=5817019.1002419125]
447334201	86831	[x=4590303.919393883 | y=5817595.258356531]
410157101	33949	[x=4596863.378142486 | y=5822129.420474698]
192170001	18546	[x=4593454.519954874 | y=5820410.711083728]
392816801	90379	[x=4591415.269138537 | y=5812036.100309968]
411029601	68168	[x=4592588.6617328245 | y=5819694.142075719]
315852001	74680	[x=4591473.409791488 | y=5817757.97594597]
95715501	7473	[x=4610846.709004476 | y=5818056.4636739865]
416331101	68218	[x=4596614.063228399 | y=5821187.928813057]
166492301	152925	[x=4563057.154448026 | y=5805579.763943797]
151623801	159923	[x=4589180.221267067 | y=5840250.874371696]
449167501	78002	[x=4597484.866184616 | y=5823818.876784984]
334314901	107787	[x=4590103.121045922 | y=5822282.230341963]
173659901	11590	[x=4597211.75078581 | y=5823854.919421777]
246403201	132419	[x=4600806.732023013 | y=5820429.955213107]
115036501	157221	[x=4619638.782546187 | y=5823199.977985813]
430148801	28075	[x=4601080.478795077 | y=5821537.109916661]
406719301	69458	[x=4592535.402707364 | y=5823938.886877799]
199257001	56011	[x=4599912.653035337 | y=5825407.152654956]
418974201	76202	[x=4589208.016437821 | y=5817793.184218817]
357517401	154492	[x=4591656.0656298 | y=5824546.742583205]
52632601	148697	[x=4552370.583897832 | y=5838553.106088959]
434939401	34568	[x=4596740.296209794 | y=5821598.362650447]
